Year,Car,Sale Type,Fuel Type,Transmission,Unit Price (USD),Units Sold,Revenue (USD),Budget
14-01-2020,Car1,Pre Book,Diesel,Manual,50566.07,4,202264.28,31856.6241
14-01-2020,Car3,Direct Sale,Petrol,Manual,78158.92,5,390794.6,58619.19
14-01-2020,Car2,Pre Book,Petrol,Manual,65106.39,5,325531.95,41017.0257
14-01-2020,Car2,Direct Sale,Petrol,Automatic,66709.87,2,133419.74,42694.3168
14-01-2020,Car2,Direct Sale,Petrol,Automatic,24015.54,5,120077.7,16570.7226
14-01-2020,Car2,Direct Sale,Petrol,Automatic,83039.63,3,249118.89,50654.1743
15-01-2020,Car1,Pre Book,Diesel,Manual,59810.69,2,119621.38,43661.8037
15-01-2020,Car1,Third Party,Petrol,Manual,20602.08,2,41204.16,12773.2896
16-01-2020,Car3,Direct Sale,Diesel,Automatic,56457.37,3,169372.11,37826.4379
16-01-2020,Car1,Third Party,Diesel,Manual,85220.04,1,85220.04,59654.028
16-01-2020,Car3,Third Party,Diesel,Manual,88534.7,2,177069.4,53120.82
17-01-2020,Car2,Third Party,Diesel,Manual,31693.23,1,31693.23,23136.0579
17-01-2020,Car3,Third Party,Diesel,Automatic,78811.31,1,78811.31,54379.8039
17-01-2020,Car2,Pre Book,Diesel,Manual,19338.33,2,38676.66,12956.6811
17-01-2020,Car1,Pre Book,Diesel,Automatic,65551.49,4,262205.96,46541.5579
17-01-2020,Car1,Pre Book,Petrol,Manual,35982.26,5,179911.3,24467.9368
17-01-2020,Car3,Third Party,Petrol,Automatic,68884.05,5,344420.25,42708.111
17-01-2020,Car3,Direct Sale,Petrol,Manual,17338.74,4,69354.96,10923.4062
17-01-2020,Car1,Direct Sale,Petrol,Manual,69256.51,2,138513.02,50557.2523
18-01-2020,Car1,Pre Book,Diesel,Manual,83319.54,5,416597.7,50824.9194
18-01-2020,Car2,Third Party,Diesel,Manual,50490.76,5,252453.8,34333.7168
18-01-2020,Car3,Pre Book,Diesel,Manual,66749.98,2,133499.96,42719.9872
18-01-2020,Car1,Pre Book,Diesel,Manual,47774.69,3,143324.07,35831.0175
18-01-2020,Car3,Direct Sale,Petrol,Manual,23339.81,3,70019.43,14470.6822
18-01-2020,Car2,Direct Sale,Petrol,Manual,86613.52,1,86613.52,63227.8696
18-01-2020,Car1,Pre Book,Petrol,Manual,15527.19,1,15527.19,11645.3925
19-01-2020,Car2,Pre Book,Diesel,Automatic,42951.64,3,128854.92,28348.0824
19-01-2020,Car2,Pre Book,Diesel,Automatic,58710.51,2,117421.02,36987.6213
19-01-2020,Car2,Direct Sale,Petrol,Manual,69155.32,3,207465.96,41493.192
19-01-2020,Car2,Third Party,Petrol,Automatic,17919.75,2,35839.5,13439.8125
20-01-2020,Car2,Direct Sale,Diesel,Automatic,15827.34,2,31654.68,9812.9508
20-01-2020,Car2,Pre Book,Diesel,Manual,71925.4,1,71925.4,44593.748
20-01-2020,Car2,Third Party,Petrol,Manual,80015.15,5,400075.75,51209.696
20-01-2020,Car3,Direct Sale,Petrol,Manual,49364.02,5,246820.1,34554.814
20-01-2020,Car1,Pre Book,Petrol,Manual,74718.04,5,373590.2,46325.1848
20-01-2020,Car1,Pre Book,Petrol,Manual,43268.56,5,216342.8,30720.6776
20-01-2020,Car3,Direct Sale,Petrol,Manual,26728.64,4,106914.56,16571.7568
21-01-2020,Car2,Third Party,Diesel,Manual,21045.11,2,42090.22,14521.1259
21-01-2020,Car3,Pre Book,Diesel,Manual,63762.55,3,191287.65,41445.6575
21-01-2020,Car3,Pre Book,Petrol,Automatic,87251.01,2,174502.02,59330.6868
21-01-2020,Car1,Third Party,Petrol,Manual,16367.44,3,49102.32,9984.1384
21-01-2020,Car1,Pre Book,Petrol,Manual,68936.99,3,206810.97,44119.6736
22-01-2020,Car3,Pre Book,Diesel,Manual,53258.23,3,159774.69,37280.761
22-01-2020,Car2,Direct Sale,Petrol,Manual,74485.72,3,223457.16,49160.5752
23-01-2020,Car2,Pre Book,Diesel,Automatic,65176.68,2,130353.36,45623.676
23-01-2020,Car3,Third Party,Diesel,Manual,69234.62,5,346173.1,48464.234
23-01-2020,Car2,Third Party,Diesel,Manual,65815.57,3,197446.71,48045.3661
23-01-2020,Car3,Third Party,Petrol,Manual,15907.73,2,31815.46,10658.1791
24-01-2020,Car2,Third Party,Diesel,Automatic,73726.25,2,147452.5,50871.1125
24-01-2020,Car2,Direct Sale,Diesel,Manual,83092.41,2,166184.82,56502.8388
24-01-2020,Car2,Direct Sale,Diesel,Automatic,51067.79,1,51067.79,35747.453
24-01-2020,Car3,Direct Sale,Diesel,Manual,62560.66,4,250242.64,46920.495
24-01-2020,Car3,Third Party,Petrol,Automatic,16729.68,3,50189.04,10037.808
24-01-2020,Car2,Direct Sale,Petrol,Manual,80802.98,1,80802.98,50097.8476
24-01-2020,Car3,Direct Sale,Petrol,Automatic,77996.04,4,311984.16,47577.5844
24-01-2020,Car3,Pre Book,Petrol,Manual,46691.13,1,46691.13,29882.3232
24-01-2020,Car3,Pre Book,Petrol,Manual,42735.99,4,170943.96,32051.9925
24-01-2020,Car1,Pre Book,Petrol,Manual,61523.22,2,123046.44,39374.8608
24-01-2020,Car2,Pre Book,Petrol,Manual,63765.08,3,191295.24,44635.556
25-01-2020,Car2,Direct Sale,Diesel,Automatic,30102.28,5,150511.4,21071.596
25-01-2020,Car1,Pre Book,Diesel,Manual,80989.7,1,80989.7,60742.275
26-01-2020,Car1,Third Party,Diesel,Automatic,82524.1,4,330096.4,54465.906
26-01-2020,Car3,Third Party,Diesel,Automatic,27625.27,5,138126.35,17127.6674
26-01-2020,Car3,Third Party,Diesel,Automatic,15744.29,3,47232.87,9761.4598
26-01-2020,Car2,Pre Book,Petrol,Manual,52377.58,5,261887.9,39283.185
27-01-2020,Car1,Pre Book,Diesel,Automatic,75296.89,4,301187.56,45178.134
27-01-2020,Car3,Pre Book,Diesel,Automatic,77090.18,4,308360.72,50879.5188
27-01-2020,Car3,Third Party,Diesel,Automatic,66526.44,2,133052.88,41246.3928
27-01-2020,Car3,Pre Book,Petrol,Manual,43531.48,5,217657.4,29601.4064
27-01-2020,Car1,Pre Book,Petrol,Manual,20053.84,5,100269.2,14037.688
27-01-2020,Car2,Direct Sale,Petrol,Manual,68984.36,2,137968.72,42770.3032
28-01-2020,Car1,Pre Book,Diesel,Manual,20771.49,5,103857.45,15578.6175
28-01-2020,Car1,Pre Book,Diesel,Manual,51067.95,5,255339.75,37790.283
28-01-2020,Car3,Direct Sale,Diesel,Manual,47536.31,1,47536.31,28521.786
28-01-2020,Car3,Third Party,Diesel,Manual,72834.21,2,145668.42,54625.6575
28-01-2020,Car3,Direct Sale,Petrol,Manual,85857.43,2,171714.86,54090.1809
01-02-2020,Car1,Direct Sale,Diesel,Manual,71596.59,2,143193.18,44389.8858
01-02-2020,Car3,Third Party,Diesel,Manual,32793.68,5,163968.4,21643.8288
01-02-2020,Car2,Direct Sale,Petrol,Manual,62096.25,2,124192.5,45951.225
01-02-2020,Car3,Pre Book,Petrol,Manual,26747.88,2,53495.76,19525.9524
01-02-2020,Car2,Direct Sale,Petrol,Automatic,71756.36,5,358781.8,43771.3796
01-02-2020,Car3,Third Party,Petrol,Manual,58664.91,2,117329.82,37545.5424
02-02-2020,Car3,Third Party,Diesel,Automatic,65817.33,3,197451.99,46072.131
02-02-2020,Car2,Pre Book,Diesel,Automatic,78801.02,3,236403.06,54372.7038
02-02-2020,Car1,Pre Book,Diesel,Automatic,44389.37,4,177557.48,32404.2401
02-02-2020,Car1,Direct Sale,Petrol,Manual,37223.11,5,186115.55,24939.4837
02-02-2020,Car3,Pre Book,Petrol,Automatic,28031.51,4,112126.04,18781.1117
03-02-2020,Car1,Third Party,Diesel,Automatic,74256.35,5,371281.75,50494.318
03-02-2020,Car3,Third Party,Diesel,Automatic,81757.28,1,81757.28,55594.9504
03-02-2020,Car1,Pre Book,Diesel,Automatic,62781.81,2,125563.62,40180.3584
03-02-2020,Car3,Third Party,Petrol,Automatic,24756.47,5,123782.35,14853.882
03-02-2020,Car1,Direct Sale,Petrol,Manual,79651.09,4,318604.36,48587.1649
03-02-2020,Car1,Pre Book,Petrol,Automatic,60468.97,5,302344.85,42328.279
03-02-2020,Car3,Direct Sale,Petrol,Automatic,64696.6,1,64696.6,45287.62
04-02-2020,Car1,Direct Sale,Petrol,Automatic,76032.47,1,76032.47,47140.1314
05-02-2020,Car2,Pre Book,Diesel,Manual,78033.93,1,78033.93,56964.7689
05-02-2020,Car3,Direct Sale,Diesel,Manual,28108.01,1,28108.01,20518.8473
05-02-2020,Car3,Pre Book,Diesel,Manual,18610.71,4,74442.84,13958.0325
05-02-2020,Car2,Third Party,Petrol,Automatic,26946.56,1,26946.56,19940.4544
05-02-2020,Car2,Direct Sale,Petrol,Manual,28835.72,5,144178.6,20761.7184
06-02-2020,Car2,Pre Book,Diesel,Manual,82501.4,3,247504.2,54450.924
06-02-2020,Car2,Pre Book,Diesel,Manual,44663.64,4,178654.56,29031.366
06-02-2020,Car1,Third Party,Diesel,Automatic,49367.6,1,49367.6,34557.32
06-02-2020,Car2,Pre Book,Diesel,Manual,53350.68,1,53350.68,33610.9284
06-02-2020,Car2,Pre Book,Petrol,Manual,19851.52,1,19851.52,13697.5488
07-02-2020,Car3,Direct Sale,Diesel,Automatic,55071.79,3,165215.37,36347.3814
07-02-2020,Car3,Third Party,Diesel,Automatic,55282.99,2,110565.98,38145.2631
07-02-2020,Car1,Direct Sale,Petrol,Automatic,72113.3,4,288453.2,43267.98
07-02-2020,Car3,Direct Sale,Petrol,Manual,78312.78,4,313251.12,53252.6904
07-02-2020,Car1,Third Party,Petrol,Automatic,17446.35,3,52339.05,11165.664
08-02-2020,Car3,Direct Sale,Diesel,Manual,69149.91,2,138299.82,43564.4433
08-02-2020,Car3,Third Party,Diesel,Manual,33138.92,4,132555.68,21208.9088
08-02-2020,Car2,Pre Book,Diesel,Manual,30380.82,2,60761.64,22785.615
08-02-2020,Car2,Direct Sale,Diesel,Manual,63897.09,1,63897.09,43450.0212
08-02-2020,Car3,Direct Sale,Petrol,Automatic,58414.87,3,175244.61,36217.2194
08-02-2020,Car3,Direct Sale,Petrol,Automatic,79982.9,1,79982.9,51189.056
08-02-2020,Car2,Pre Book,Petrol,Manual,77986.21,1,77986.21,56150.0712
09-02-2020,Car3,Direct Sale,Diesel,Manual,72668.83,4,290675.32,49414.8044
09-02-2020,Car1,Pre Book,Diesel,Manual,84464.56,2,168929.12,63348.42
09-02-2020,Car2,Direct Sale,Petrol,Automatic,77828.26,3,233484.78,55258.0646
09-02-2020,Car3,Pre Book,Petrol,Manual,30701.2,2,61402.4,21797.852
10-02-2020,Car1,Direct Sale,Diesel,Manual,89045.71,1,89045.71,59660.6257
10-02-2020,Car2,Pre Book,Diesel,Automatic,78631.9,2,157263.8,51897.054
10-02-2020,Car2,Pre Book,Petrol,Automatic,48176.42,1,48176.42,31314.673
10-02-2020,Car1,Third Party,Petrol,Automatic,80506.74,2,161013.48,57159.7854
10-02-2020,Car3,Pre Book,Petrol,Automatic,61477.46,3,184432.38,36886.476
10-02-2020,Car3,Pre Book,Petrol,Automatic,81205.08,4,324820.32,59279.7084
11-02-2020,Car1,Pre Book,Diesel,Manual,88592.73,3,265778.19,61128.9837
11-02-2020,Car3,Pre Book,Diesel,Manual,62575.48,5,312877.4,41299.8168
11-02-2020,Car1,Third Party,Diesel,Manual,15370.5,2,30741,11220.465
11-02-2020,Car1,Third Party,Diesel,Manual,59585.73,1,59585.73,41710.011
11-02-2020,Car3,Pre Book,Diesel,Manual,64973.02,2,129946.04,39633.5422
11-02-2020,Car2,Pre Book,Petrol,Automatic,42855.64,1,42855.64,31284.6172
11-02-2020,Car1,Third Party,Petrol,Manual,82413.55,3,247240.65,49448.13
12-02-2020,Car3,Third Party,Diesel,Manual,48759.25,4,195037,33643.8825
12-02-2020,Car3,Direct Sale,Diesel,Manual,81754.28,5,408771.4,49052.568
12-02-2020,Car2,Third Party,Petrol,Manual,79849.53,4,319398.12,48708.2133
12-02-2020,Car3,Direct Sale,Petrol,Automatic,54724.63,2,109449.26,38854.4873
13-02-2020,Car3,Pre Book,Diesel,Automatic,78840.52,5,394202.6,48881.1224
13-02-2020,Car2,Direct Sale,Diesel,Manual,83747.64,3,251242.92,52761.0132
13-02-2020,Car3,Pre Book,Diesel,Manual,18392.05,5,91960.25,13610.117
13-02-2020,Car2,Pre Book,Petrol,Manual,24665.24,3,73995.72,18005.6252
13-02-2020,Car1,Third Party,Petrol,Manual,47878.87,3,143636.61,33993.9977
14-02-2020,Car3,Third Party,Diesel,Manual,20591.3,1,20591.3,14207.997
14-02-2020,Car1,Third Party,Diesel,Automatic,62730.1,5,313650.5,40774.565
14-02-2020,Car1,Third Party,Petrol,Automatic,67121.33,2,134242.66,42286.4379
14-02-2020,Car3,Direct Sale,Petrol,Automatic,62066.86,3,186200.58,39102.1218
14-02-2020,Car1,Pre Book,Petrol,Automatic,30241.73,3,90725.19,18749.8726
15-02-2020,Car3,Direct Sale,Diesel,Automatic,26542.19,3,79626.57,18048.6892
15-02-2020,Car1,Pre Book,Diesel,Automatic,63147.86,4,252591.44,46097.9378
15-02-2020,Car3,Third Party,Petrol,Automatic,21825.16,2,43650.32,16150.6184
16-02-2020,Car1,Direct Sale,Diesel,Automatic,68042.9,2,136085.8,49671.317
16-02-2020,Car3,Pre Book,Diesel,Manual,20118.73,3,60356.19,14887.8602
17-02-2020,Car1,Third Party,Diesel,Manual,33542.33,4,134169.32,24485.9009
17-02-2020,Car1,Third Party,Petrol,Automatic,27005.37,2,54010.74,19713.9201
17-02-2020,Car2,Pre Book,Petrol,Automatic,28641.01,1,28641.01,20335.1171
18-02-2020,Car1,Pre Book,Diesel,Automatic,36294.07,2,72588.14,25768.7897
18-02-2020,Car1,Third Party,Diesel,Automatic,28607.88,5,143039.4,19167.2796
18-02-2020,Car2,Third Party,Petrol,Automatic,15193.8,5,75969,9268.218
18-02-2020,Car1,Pre Book,Petrol,Automatic,88806.26,2,177612.52,55059.8812
18-02-2020,Car2,Direct Sale,Petrol,Manual,77661.02,5,388305.1,54362.714
20-02-2020,Car2,Direct Sale,Diesel,Automatic,75378.35,4,301513.4,45227.01
20-02-2020,Car1,Pre Book,Diesel,Manual,33144.88,4,132579.52,19886.928
20-02-2020,Car2,Third Party,Diesel,Manual,87528.95,5,437644.75,65646.7125
20-02-2020,Car3,Direct Sale,Diesel,Manual,30128.94,1,30128.94,21090.258
21-02-2020,Car1,Third Party,Diesel,Automatic,89752.26,1,89752.26,53851.356
21-02-2020,Car3,Third Party,Diesel,Automatic,50968.66,4,203874.64,30581.196
21-02-2020,Car1,Third Party,Petrol,Manual,40005.55,3,120016.65,24003.33
21-02-2020,Car1,Direct Sale,Petrol,Manual,15424.94,5,77124.7,10026.211
21-02-2020,Car3,Pre Book,Petrol,Automatic,33938.16,2,67876.32,24774.8568
21-02-2020,Car2,Third Party,Petrol,Automatic,21329.43,2,42658.86,15570.4839
22-02-2020,Car1,Direct Sale,Diesel,Automatic,38769.15,2,77538.3,23261.49
22-02-2020,Car1,Direct Sale,Petrol,Manual,62807.24,4,251228.96,37684.344
22-02-2020,Car1,Third Party,Petrol,Manual,22869.76,1,22869.76,16694.9248
22-02-2020,Car2,Third Party,Petrol,Automatic,20764.66,2,41529.32,12666.4426
23-02-2020,Car2,Direct Sale,Diesel,Manual,51281.62,2,102563.24,36922.7664
23-02-2020,Car1,Third Party,Diesel,Manual,50467.28,1,50467.28,32299.0592
23-02-2020,Car3,Third Party,Petrol,Automatic,43684.65,4,174738.6,29268.7155
23-02-2020,Car2,Direct Sale,Petrol,Manual,25336.72,5,126683.6,17482.3368
24-02-2020,Car2,Direct Sale,Diesel,Manual,49443.67,5,247218.35,35599.4424
24-02-2020,Car1,Third Party,Diesel,Manual,43974.24,5,219871.2,29462.7408
24-02-2020,Car3,Third Party,Diesel,Manual,60045.72,5,300228.6,38429.2608
24-02-2020,Car3,Direct Sale,Petrol,Automatic,38396.4,2,76792.8,25341.624
24-02-2020,Car1,Pre Book,Petrol,Automatic,25765.68,2,51531.36,18293.6328
24-02-2020,Car3,Third Party,Petrol,Manual,72494.14,1,72494.14,47121.191
25-02-2020,Car1,Direct Sale,Diesel,Manual,76564.61,2,153129.22,56657.8114
25-02-2020,Car1,Pre Book,Diesel,Automatic,82779.3,2,165558.6,57945.51
25-02-2020,Car1,Third Party,Diesel,Manual,36185.43,5,180927.15,26053.5096
25-02-2020,Car2,Third Party,Petrol,Manual,18499.92,4,73999.68,12579.9456
25-02-2020,Car2,Pre Book,Petrol,Automatic,66966.78,2,133933.56,50225.085
25-02-2020,Car1,Pre Book,Petrol,Automatic,16977.52,1,16977.52,12393.5896
25-02-2020,Car3,Direct Sale,Petrol,Automatic,61045.02,4,244180.08,43341.9642
25-02-2020,Car1,Third Party,Petrol,Manual,38379.16,5,191895.8,26865.412
26-02-2020,Car1,Third Party,Diesel,Automatic,61681.02,2,123362.04,40092.663
26-02-2020,Car2,Direct Sale,Petrol,Automatic,81941.92,3,245825.76,57359.344
26-02-2020,Car1,Third Party,Petrol,Automatic,80950.58,1,80950.58,49379.8538
26-02-2020,Car2,Pre Book,Petrol,Automatic,77298.19,2,154596.38,46378.914
26-02-2020,Car2,Pre Book,Petrol,Automatic,74565.8,4,298263.2,52196.06
27-02-2020,Car3,Direct Sale,Diesel,Automatic,46059.73,5,230298.65,33623.6029
27-02-2020,Car3,Third Party,Diesel,Manual,25035.28,5,125176.4,15521.8736
27-02-2020,Car2,Third Party,Diesel,Automatic,52577.99,5,262889.95,34175.6935
27-02-2020,Car2,Third Party,Petrol,Manual,40579.98,1,40579.98,25159.5876
27-02-2020,Car1,Pre Book,Petrol,Automatic,28332.48,4,113329.92,18699.4368
27-02-2020,Car2,Pre Book,Petrol,Automatic,78108.57,3,234325.71,46865.142
27-02-2020,Car2,Direct Sale,Petrol,Automatic,18748.43,1,18748.43,12561.4481
28-02-2020,Car1,Direct Sale,Petrol,Automatic,15092.39,1,15092.39,10564.673
01-03-2020,Car2,Third Party,Diesel,Automatic,55150.17,1,55150.17,38605.119
01-03-2020,Car3,Direct Sale,Diesel,Automatic,44796.55,5,223982.75,33597.4125
01-03-2020,Car2,Direct Sale,Diesel,Manual,74227.39,3,222682.17,49732.3513
01-03-2020,Car2,Third Party,Diesel,Automatic,25541.47,5,127707.35,19156.1025
01-03-2020,Car1,Pre Book,Petrol,Automatic,16570.87,4,66283.48,11102.4829
01-03-2020,Car1,Pre Book,Petrol,Manual,89560.45,2,179120.9,67170.3375
01-03-2020,Car3,Pre Book,Petrol,Automatic,35767.84,1,35767.84,26110.5232
02-03-2020,Car1,Direct Sale,Diesel,Automatic,50938.64,5,254693.2,32091.3432
02-03-2020,Car1,Third Party,Diesel,Automatic,18856.94,3,56570.82,11691.3028
02-03-2020,Car2,Pre Book,Petrol,Automatic,29101.86,1,29101.86,19207.2276
02-03-2020,Car2,Third Party,Petrol,Manual,36342.17,1,36342.17,25802.9407
02-03-2020,Car1,Third Party,Petrol,Automatic,62367.02,1,62367.02,44280.5842
02-03-2020,Car3,Pre Book,Petrol,Manual,54392.98,1,54392.98,39706.8754
03-03-2020,Car2,Third Party,Diesel,Automatic,83275.43,1,83275.43,50798.0123
03-03-2020,Car2,Third Party,Diesel,Automatic,29153.03,1,29153.03,20407.121
04-03-2020,Car1,Third Party,Diesel,Manual,40640.98,4,162563.92,29667.9154
04-03-2020,Car3,Pre Book,Petrol,Manual,63211.42,1,63211.42,44880.1082
04-03-2020,Car2,Direct Sale,Petrol,Manual,30197.45,4,120789.8,19930.317
05-03-2020,Car2,Third Party,Diesel,Automatic,61301.38,5,306506.9,39232.8832
05-03-2020,Car2,Third Party,Diesel,Automatic,37382.62,3,112147.86,28036.965
05-03-2020,Car3,Pre Book,Diesel,Manual,27888.64,3,83665.92,18685.3888
05-03-2020,Car2,Pre Book,Petrol,Manual,50945.92,3,152837.76,31077.0112
05-03-2020,Car3,Pre Book,Petrol,Automatic,55074.56,4,220298.24,40755.1744
05-03-2020,Car3,Direct Sale,Petrol,Automatic,49394.85,3,148184.55,36058.2405
06-03-2020,Car1,Direct Sale,Diesel,Manual,79918.29,3,239754.87,47950.974
06-03-2020,Car1,Pre Book,Diesel,Manual,45568.82,3,136706.46,34176.615
06-03-2020,Car2,Direct Sale,Diesel,Manual,24843.37,5,124216.85,18135.6601
06-03-2020,Car1,Direct Sale,Diesel,Automatic,71058.33,4,284233.32,43345.5813
06-03-2020,Car2,Pre Book,Petrol,Manual,66932.7,2,133865.4,44175.582
06-03-2020,Car3,Direct Sale,Petrol,Manual,79677.28,5,398386.4,51790.232
06-03-2020,Car3,Pre Book,Petrol,Automatic,59472.22,4,237888.88,42225.2762
06-03-2020,Car3,Direct Sale,Petrol,Manual,33883.67,2,67767.34,20669.0387
06-03-2020,Car3,Direct Sale,Petrol,Automatic,64255.25,1,64255.25,47548.885
07-03-2020,Car3,Pre Book,Diesel,Manual,72366.24,2,144732.48,52827.3552
07-03-2020,Car3,Third Party,Diesel,Automatic,51352.22,5,256761.1,32865.4208
07-03-2020,Car2,Third Party,Petrol,Manual,40635.28,2,81270.56,26819.2848
07-03-2020,Car3,Third Party,Petrol,Automatic,20832.4,4,83329.6,12916.088
08-03-2020,Car3,Pre Book,Diesel,Automatic,40139.79,4,160559.16,28900.6488
